,0,,1,",",2
518,15,",",77,",",2.240951061
519,15,",",75.75147247,",",2.5
520,15,",",79,",",1.828999996
521,13.8326416,",",81,",",1.5
522,15,",",81,",",1.420626938
523,15,",",80.61209106,",",1.5
524,15,",",83,",",1.013335109
525,15,",",85,",",0.610895507
526,15,",",85.55467224,",",0.5
527,16.72416687,",",3,",",16.5
528,17,",",3,",",16.49231052
529,17,",",2.903247237,",",16.5
530,17,",",1,",",16.635952
531,17,",",5,",",16.2333231
532,17,",",7,",",15.92155552
533,17,",",9,",",15.58293343
534,17,",",11,",",15.21499634
535,17,",",9.483011246,",",15.5
536,17,",",13,",",14.84234905
537,16.75213814,",",15,",",14.5
538,17,",",15,",",14.47322559
539,17,",",14.8643074,",",14.5
540,17,",",17,",",14.09436035
541,17,",",19,",",13.72512436
542,15.51732445,",",21,",",13.5
543,17,",",21,",",13.35794735
544,17,",",20.25011444,",",13.5
545,17,",",23,",",12.98898792
546,17,",",25,",",12.6259737
547,17,",",27,",",12.25858212
548,17,",",25.70197868,",",12.5
549,17,",",29,",",11.88999271
550,17,",",31,",",11.5229969
551,17,",",33,",",11.14613342
552,17,",",31.12502289,",",11.5
553,17,",",35,",",10.76877975
554,17,",",37,",",10.38781738
555,17,",",36.41951752,",",10.5
556,17,",",39,",",9.998973846
557,17,",",41,",",9.609213829
558,17,",",43,",",9.211716652
559,17,",",41.5555687,",",9.5
560,17,",",45,",",8.810949326
561,15.06462955,",",47,",",8.5
562,17,",",47,",",8.407529354
563,17,",",46.54587555,",",8.5
564,17,",",49,",",7.997188091
565,17,",",51,",",7.586827755
566,17,",",53,",",7.170460701
567,17,",",51.42015076,",",7.5
568,17,",",55,",",6.753185272
569,17,",",57,",",6.333993435
570,17,",",56.21157455,",",6.5
571,17,",",59,",",5.911848068
572,16.83289146,",",61,",",5.5
573,17,",",61,",",5.491309643
574,17,",",60.95891571,",",5.5
575,17,",",63,",",5.066309452
576,17,",",65,",",4.643826962
577,17,",",67,",",4.220022678
578,17,",",65.68083191,",",4.5
579,17,",",69,",",3.797297239
580,17,",",71,",",3.376270294
581,17,",",70.41377258,",",3.5
582,17,",",73,",",2.954986811
583,17,",",75,",",2.537629843
584,17,",",77,",",2.119775891
585,17,",",75.18055725,",",2.5
586,17,",",79,",",1.705902696
587,17,",",81,",",1.294270158
588,17,",",80.00143433,",",1.5
589,17,",",83,",",0.885166436
590,16.71096706,",",85,",",0.5
591,17,",",84.905159,",",0.5
592,19,",",3,",",16.34127235
593,19,",",1.358878911,",",16.5
594,19,",",1,",",16.53087616
595,19,",",5,",",16.04746628
596,19,",",7,",",15.71152115
597,17.7761898,",",9,",",15.5
598,19,",",9,",",15.34824371
599,19,",",8.214893341,",",15.5
600,19,",",11,",",14.97048759
601,19,",",13,",",14.60268497
602,19,",",15,",",14.23163509
603,19,",",13.58298874,",",14.5
604,19,",",17,",",13.86937428
605,19,",",19,",",13.51913738
606,19,",",21,",",13.16343307
607,19,",",19.11269569,",",13.5
608,19,",",23,",",12.81500816
609,18.64743805,",",25,",",12.5
610,19,",",25,",",12.47023106
611,19,",",24.83309746,",",12.5
612,19,",",27,",",12.1164484
613,19,",",29,",",11.76404381
614,17.42844582,",",31,",",11.5
615,19,",",31,",",11.40824032
616,19,",",30.49402809,",",11.5
617,19,",",33,",",11.04281807
618,19,",",35,",",10.6755209
619,19,",",37,",",10.30031586
620,19,",",35.94474411,",",10.5
621,19,",",39,",",9.917934418
622,19,",",41,",",9.533080101
623,19,",",43,",",9.137274742
624,19,",",41.16921234,",",9.5
625,19,",",45,",",8.73884201
626,19,",",47,",",8.33519125
627,19,",",46.18854141,",",8.5
628,19,",",49,",",7.925264359
629,19,",",51,",",7.514628887
630,19,",",53,",",7.095911026
631,19,",",51.07041168,",",7.5
632,19,",",55,",",6.677242279
633,19,",",57,",",6.254884243
634,19,",",55.8423996,",",6.5
635,19,",",59,",",5.830622196
636,19,",",61,",",5.406407833
637,19,",",60.56048203,",",5.5
638,19,",",63,",",4.978868008
639,19,",",65,",",4.553766727
640,19,",",67,",",4.125892878
641,19,",",65.25215149,",",4.5
642,19,",",69,",",3.700427294
643,19,",",71,",",3.275319338
644,19,",",69.94438934,",",3.5
645,19,",",73,",",2.851308584
646,17.71595955,",",75,",",2.5
647,19,",",75,",",2.430434227
648,19,",",74.67001343,",",2.5
649,19,",",77,",",2.009492159
650,19,",",79,",",1.593095422
651,19,",",81,",",1.177722692
652,19,",",79.44874573,",",1.5
653,19,",",83,",",0.766277701
654,19,",",84.30612946,",",0.5
655,21,",",1,",",16.22832298
656,19.24689293,",",1,",",16.5
657,21,",",3,",",16.03385544
658,21,",",5,",",15.7375555
659,20.40942574,",",7,",",15.5
660,21,",",7,",",15.39260864
661,21,",",6.42721796,",",15.5
662,21,",",9,",",15.0205307
663,21,",",11,",",14.66140652
664,19.76507378,",",13,",",14.5
665,21,",",13,",",14.30588055
666,21,",",11.94795322,",",14.5
667,21,",",15,",",13.9595356
668,21,",",17,",",13.62979317
669,19.19835663,",",19,",",13.5
670,21,",",19,",",13.3021059
671,21,",",17.81703186,",",13.5
672,21,",",21,",",12.97736549
673,21,",",23,",",12.65780926
674,21,",",25,",",12.33328533
675,21,",",23.98946381,",",12.5
676,21,",",27,",",12.00227356
677,21,",",29,",",11.668993
678,21,",",31,",",11.32626629
679,21,",",29.99755096,",",11.5
680,21,",",33,",",10.97376156
681,21,",",35,",",10.61654854
682,21,",",37,",",10.24741077
683,21,",",35.63831329,",",10.5
684,21,",",39,",",9.870531082
